,price,type,room_num,floor,area_m2,floors_num,year_built,last_refurbishment,address
958,"CHF1,690,000.–",Apartment,5.0,7,133 m2,8.0,1970.0,,1213 Petit-Lancy
959,"CHF365,000.–",Apartment,3.5,3,79 m2,,1971.0,,"Eichbühlstrasse 15, 5735 Pfeffikon (bei Rickenbach)"
960,"CHF1,595,000.–",Apartment,5.0,,129 m2,,1990.0,2022.0,1228 Plan-les-Ouates
961,"CHF805,000.–",Apartment,3.5,GF,95 m2,2.0,2021.0,,6946 Ponte Capriasca
962,"CHF1,000,000.–",Apartment,3.5,,93 m2,,,,"Via ai Castagni, 6946 Ponte Capriasca"
963,"CHF590,000.–",Attic flat,3.5,,99 m2,3.0,2017.0,,6988 Ponte Tresa
964,"CHF365,000.–",Apartment,3.5,3,79 m2,,1971.0,,"Eichbühlstrasse 15, 5735 Pfeffikon (bei Rickenbach)"
965,"CHF1,595,000.–",Apartment,5.0,,129 m2,,1990.0,2022.0,1228 Plan-les-Ouates
966,"CHF805,000.–",Apartment,3.5,GF,95 m2,2.0,2021.0,,6946 Ponte Capriasca
967,"CHF1,000,000.–",Apartment,3.5,,93 m2,,,,"Via ai Castagni, 6946 Ponte Capriasca"
968,"CHF590,000.–",Attic flat,3.5,,99 m2,3.0,2017.0,,6988 Ponte Tresa
969,"EUR650,000.–",Apartment,3.5,GF,120 m2,,1900.0,2003.0,6988 Ponte Tresa
970,"CHF710,000.–",Apartment,4.5,,167 m2,3.0,2017.0,,6988 Ponte Tresa
971,"CHF320,000.–",Apartment,3.5,2,70 m2,,,2022.0,"Rue Saint-Michel 1, 2900 Porrentruy"
972,"CHF580,000.–",Apartment,4.5,1,105 m2,,,,"rue auguste cuenin 10, 2900 Porrentruy"
973,"CHF580,000.–",Apartment,4.5,GF,109 m2,,,,"rue auguste cuenin 10, 2900 Porrentruy"
974,"CHF2,900,000.–",Apartment,4.5,4,215 m2,2.0,2013.0,,6948 Porza
975,"CHF610,000.–",Apartment,3.5,GF,89 m2,,2023.0,,"Furnerstrasse, 7231 Pragg-Jenaz"
976,"CHF630,000.–",Apartment,3.5,1,,,2023.0,,"Furnerstrasse, 7231 Pragg-Jenaz"
977,"CHF815,000.–",Apartment,4.5,1,113 m2,,2022.0,,"Furnerstrasse, 7231 Pragg-Jenaz"
978,"CHF830,000.–",Apartment,4.5,GF,113 m2,,2023.0,,"Furnerstrasse, 7231 Pragg-Jenaz"
979,"CHF577,000.–",Apartment,2.5,GF,,3.0,2019.0,,"strada di pregassona 56, 6963 Pregassona"
980,"CHF698,000.–",Apartment,3.0,2,82 m2,4.0,2017.0,,6963 Pregassona
981,"CHF950,000.–",Apartment,3.5,GF,,4.0,2014.0,,"via Roncobello 5, 6963 Pregassona"
982,"CHF1,390,000.–",Attic flat,4.5,,142 m2,4.0,2018.0,,6963 Pregassona
983,"CHF1,590,000.–",Apartment,5.5,GF,220 m2,3.0,1978.0,,6963 Pregassona
984,"CHF1,700,000.–",Apartment,4.5,2,202 m2,,,,6963 Pregassona
985,"CHF1,680,000.–",Apartment,4.5,4,105 m2,,2021.0,,"Chemin du Signal 143, 1070 Puidoux"
986,"CHF1,690,000.–",Apartment,4.5,1,105 m2,,2021.0,,"Chemin du Signal 143, 1070 Puidoux"
987,"CHF1,590,000.–",Apartment,5.5,GF,220 m2,3.0,1978.0,,6963 Pregassona
